Couleur,Mouvement source,Mouvement destination,Status
B,F4,F5,OK
R,C5,D5,OK
B,G4,F4,OK
R,B4,B3,OK
B,G3,G5,TOO_FAR
B,G3,G4,OK
R,D5,E5,OK
B,G2,G3,OK
R,D6,E5,DEST_NOT_FREE
R,D6,D5,OK
B,G1,G2,OK
R,B3,C3,OK
B,F4,E4,OK
R,A4,B4,OK
B,G4,F4,OK
R,C3,D3,OK
B,G3,G4,OK
R,D5,D4,OK
B,G2,g3,OK
R,D3,C3,TOO_FAR
R,B4,B3,OK
B,D2,C2,OK
R,B3,C3,OK
B,E2,D2,OK
R,D7,D6,OK
B,F2,E2,OK
R,D6,E6,OK
B,F1,F2,OK
R,C6,D5,OK
B,C2,B3,OK
R,A5,A4,OK
B,D1,C2,OK
R,B5,B4,OK
B,B6,B5,BAD_COLOR
B,E1,D1,OK
R,B6,B5,OK
Victoire : B (16 coups)